CrimeRate,TimeOfDay,LocationType,RiskLevel
3,Evening,Rural,Low
8,Night,Rural,High
10,Evening,Suburban,High
6,Day,Urban,Medium
10,Night,Suburban,High
8,Evening,Urban,High
8,Evening,Rural,High
9,Evening,Urban,High
4,Evening,Rural,Medium
6,Day,Rural,Medium
2,Night,Rural,Low
4,Night,Suburban,Medium
3,Day,Rural,Low
2,Night,Suburban,Low
6,Day,Suburban,Medium
6,Night,Urban,High
6,Day,Urban,Medium
3,Day,Suburban,Low
1,Day,Rural,Low
6,Evening,Rural,Medium
10,Evening,Suburban,High
1,Evening,Suburban,Low
7,Night,Urban,High
4,Night,Rural,Medium
7,Night,Rural,High
4,Night,Suburban,Medium
6,Day,Suburban,Medium
2,Day,Rural,Low
6,Day,Suburban,Medium
2,Day,Rural,Low
2,Day,Urban,Low
9,Day,Rural,High
4,Night,Urban,Medium
1,Night,Rural,Low
1,Night,Rural,Low
9,Day,Urban,High
4,Night,Suburban,Medium
4,Evening,Suburban,Medium
7,Evening,Suburban,Medium
8,Night,Suburban,High
9,Night,Suburban,High
1,Night,Rural,Low
5,Night,Urban,Medium
5,Evening,Rural,Medium
1,Day,Rural,Low
2,Day,Suburban,Low
8,Day,Urban,High
2,Evening,Urban,Low
4,Day,Urban,Medium
9,Night,Urban,High
7,Evening,Suburban,Medium
9,Night,Urban,High
4,Evening,Urban,Medium
8,Day,Suburban,High
9,Evening,Suburban,High
4,Evening,Urban,Medium
1,Night,Suburban,Low
10,Evening,Suburban,High
5,Day,Suburban,Medium
10,Evening,Urban,High
2,Evening,Rural,Low
5,Evening,Suburban,Medium
4,Evening,Urban,Medium
5,Day,Suburban,Medium
7,Night,Rural,High
2,Day,Rural,Low
10,Evening,Urban,High
1,Night,Urban,Low
4,Day,Rural,Medium
8,Night,Suburban,High
6,Evening,Rural,Medium
2,Evening,Urban,Low
5,Day,Urban,Medium
2,Day,Rural,Low
9,Day,Rural,High
7,Night,Rural,High
7,Day,Rural,Medium
7,Evening,Rural,Medium
1,Day,Urban,Low
10,Night,Suburban,High
8,Day,Suburban,High
3,Evening,Suburban,Low
1,Day,Urban,Low
6,Evening,Urban,Medium
1,Day,Urban,Low
7,Day,Urban,Medium
4,Evening,Rural,Medium
2,Day,Urban,Low
1,Day,Suburban,Low
3,Day,Urban,Low
5,Night,Rural,Medium
7,Night,Suburban,High
9,Night,Rural,High
5,Evening,Rural,Medium
10,Night,Urban,High
4,Evening,Rural,Medium
3,Night,Urban,Low
2,Night,Suburban,Low
1,Evening,Urban,Low
10,Night,Suburban,High
3,Evening,Urban,Low
4,Night,Rural,Medium
6,Evening,Rural,Medium
3,Evening,Suburban,Low
8,Day,Rural,High
6,Evening,Urban,Medium
3,Day,Urban,Low
3,Day,Urban,Low
3,Day,Urban,Low
5,Day,Suburban,Medium
5,Evening,Rural,Medium
2,Day,Urban,Low
10,Evening,Rural,High
10,Night,Urban,High
6,Night,Rural,High
4,Night,Rural,Medium
7,Night,Rural,High
7,Day,Suburban,Medium
7,Evening,Urban,Medium
3,Day,Rural,Low
3,Evening,Rural,Low
7,Night,Suburban,High
9,Evening,Rural,High
6,Evening,Suburban,Medium
8,Day,Rural,High
9,Night,Rural,High
1,Day,Urban,Low
9,Evening,Rural,High
6,Night,Urban,High
1,Day,Urban,Low
1,Night,Suburban,Low
2,Night,Suburban,Low
3,Day,Suburban,Low
3,Evening,Rural,Low
10,Night,Rural,High
1,Evening,Suburban,Low
6,Evening,Urban,Medium
5,Night,Rural,Medium
9,Day,Rural,High
9,Evening,Rural,High
3,Evening,Rural,Low
1,Day,Urban,Low
4,Night,Rural,Medium
3,Night,Suburban,Low
1,Night,Urban,Low
1,Night,Suburban,Low
5,Evening,Urban,Medium
1,Evening,Urban,Low
7,Night,Rural,High
5,Day,Urban,Medium
